"id","name","sku","barcode","category_id","purchase_price","selling_price","stock","min_stock","unit","created_at"
"1","Sprite Canned","BEV-001","5449000014535",,"7.91","12.00","24","5","bottle","""2026-07-09T09:52:36.936Z"""
"2","DON SIMON","BEV-002","8410261607108",,"35.00","40.00","13","5","bottle","""2026-07-09T09:52:36.936Z"""
"3","FANTA Orange","BEV-003","90377235",,"4.00","7.00","11","5","bottle","""2026-07-09T09:52:36.936Z"""
"4","CERES Red Grapes","SNK-001","6001240100073",,"37.00","45.00","4","1","pack","""2026-07-09T09:52:36.936Z"""
"5","CERES Secret of Valley","SNK-002","6001240100714",,"37.00","45.00","2","1","pack","""2026-07-09T09:52:36.936Z"""
"6","Peak Milk Low Fat","SNK-003","8716200280792",,"27.03","37.00","12","5","pack","""2026-07-09T09:52:36.936Z"""
"7","FRU TELLI","HH-001","6253500771428",,"24.66","30.00","6","2","bag","""2026-07-09T09:52:36.936Z"""
"9","Hollandia Yogurt Drink","TOI-001","6151100052162",,"20.00","30.00","5","2","bar","""2026-07-09T09:52:36.936Z"""
"10","CERES Guava","TOI-002","6001240100035",,"37.00","45.00","2","1","tube","""2026-07-09T09:52:36.936Z"""
"14","FANTA Cocktail ","SKU-MREEIXP3","42116011",,"4.00","7.00","11","5","pcs","""2026-07-10T03:54:17.752Z"""
"15","FANTA Orange Canned","SKU-MREF5PJJ","5449000011527",,"7.91","12.00","24","5","pcs","""2026-07-10T04:12:00.273Z"""
"18","FANTA Lemon","SKU-MSW80ENS","90418723",,"4.00","7.00","19","5","pcs","""2026-08-16T19:51:29.094Z"""
"19","Coca-Cola 300ml","SKU-MSW86BD4","90338052",,"4.00","7.00","29","5","pcs","""2026-08-16T19:56:04.757Z"""
"20","BEL-MALT ","SKU-MSW8A2GH","6034000351248",,"4.00","6.50","24","5","pcs","""2026-08-16T19:58:59.837Z"""
"21","Malta Guinness","SKU-MSWZ9N17","6034000106893",,"9.79","14.00","24","5","pcs","""2026-08-17T08:34:29.481Z"""
"22","BB Cocktail","SKU-MSWZCABK","9501100004208",,"9.16","14.00","21","5","pcs","""2026-08-17T08:36:32.974Z"""
"23","Bigoo Cocktail","SKU-MSWZEH82","6034095253182",,"2.30","5.00","20","5","pcs","""2026-08-17T08:38:15.231Z"""
"24","Bigoo Cola","SKU-MSWZGPWP","6034096253198",,"2.30","5.00","19","5","pcs","""2026-08-17T08:39:59.798Z"""
"25","BEL-Cola","SKU-MSWZI3AP","6034000351101",,"2.10","5.00","11","5","pcs","""2026-08-17T08:41:03.806Z"""
"26","Coca-Cola","SKU-MSWZLY24","5449000000439",,"9.66","28.00","11","1","pcs","""2026-08-17T08:44:03.641Z"""
"27","Tampico 1 liter","SKU-MSX0ZYS3","951889903428",,"10.16","15.00","6","2","pcs","""2026-08-17T09:22:57.377Z"""
"28","Tampico  Small","SKU-MSX12CGJ","951889950026",,"5.00","7.00","11","5","pcs","""2026-08-17T09:24:48.416Z"""
"29","5 Star Energy drink","SKU-MSX148JC","4260183331285",,"3.83","5.00","11","5","pcs","""2026-08-17T09:26:16.643Z"""
"30","Sprite","SKU-MSX16Z5S","54007888",,"4.00","7.00","12","5","pcs","""2026-08-17T09:28:24.461Z"""
"31","DON SIMON  small","SKU-MSX19JSX","8410261607412",,"5.66","8.00","26","8","pcs","""2026-08-17T09:30:24.526Z"""
"32","FRUITY","SKU-MSX23Z7J","6253500771220",,"2.38","5.00","39","10","pcs","""2026-08-17T09:54:04.172Z"""
"33","FRUITY  Pack","SKU-MSX283ZA",,,"50.00","65.00","2","1","pcs","""2026-08-17T09:57:16.977Z"""
"34","Kalyppo Pack","SKU-MSX29XYQ",,,"92.00","110.00","2","1","pcs","""2026-08-17T09:58:42.495Z"""
"35","Juicee","SKU-MSX2KND2","6253500771527",,"3.12","5.00","48","12","pcs","""2026-08-17T10:07:01.971Z"""
"36","Juicee Pack","SKU-MSX2MY0E",,,"75.00","90.00","1","0","pcs","""2026-08-17T10:08:49.083Z"""
"37","Kalyppo Apple","SKU-MSX3J7S8","9501053210480",,"3.83","6.00","6","2","pcs","""2026-08-17T10:33:54.739Z"""
"38","Kalyppo Orang","SKU-MSX3KLZH","9501053210466",,"3.83","6.00","6","2","pcs","""2026-08-17T10:34:59.803Z"""
"39","Kalyppo Fruitmix","SKU-MSX3LEKU","9501053210497",,"3.83","6.00","6","2","pcs","""2026-08-17T10:35:36.859Z"""
"40","VITAMILK","SKU-MSX48Z64","8851028000631",,"12.91","16.00","21","8","pcs","""2026-08-17T10:53:56.633Z"""
"41","STORM Energy drink","SKU-MSX4DKQF","6033000340085",,"5.83","8.00","11","4","pcs","""2026-08-17T10:57:31.203Z"""
"42","fanYogo","SKU-MSX4UYDH","6033000540553",,"3.83","5.00","60","20","pcs","""2026-08-17T11:11:02.035Z"""
"43","FanIce","SKU-MSX4WJ11","6033000540607",,"3.83","5.00","55","20","pcs","""2026-08-17T11:12:15.458Z"""
"44","FanChoco","SKU-MSX4Y2OQ","6033000540546",,"3.83","5.00","70","20","pcs","""2026-08-17T11:13:27.592Z"""
"45","FanIce Chocolate 150ml Cup ","SKU-MSX5K1LN","6034000130232",,"5.25","7.00","6","2","pcs","""2026-08-17T11:30:32.616Z"""
"46","FanIce Vanilla 150ml Cup ","SKU-MSX5LHJB","6034000130218",,"5.25","7.00","10","3","pcs","""2026-08-17T11:31:39.923Z"""
"47","FanIce Strawberry 150ml Cup","SKU-MSX5PAUT","6034000130225",,"5.25","7.00","9","4","pcs","""2026-08-17T11:34:37.891Z"""
"48","FanIce Strawberry 500ml Cup","SKU-MSX7VF18","6034000130072",,"19.00","22.00","6","2","pcs","""2026-08-17T12:35:22.473Z"""
"49","FanIce Strawberry 250ml Cup","SKU-MSX7XSG5","6034000130607",,"10.00","12.00","11","4","pcs","""2026-08-17T12:37:13.171Z"""
